pm2_5,pm10,no2,o3,aqi_us,timestamp,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,date,hour,day_of_week,month,aqi_lag_1h,aqi_lag_24h,aqi_change_1h,aqi_change_24h,aqi_t_plus_24h,aqi_t_plus_48h,aqi_t_plus_72h
43.2,50.3,63.9,34.0,93,2026-02-19 00:00:00,21.1,68,6.4,0.0,2026-02-19,0,3,2,92.0,90.0,1.0,3.0,82.0,79.0,99.0
37.3,44.9,49.0,47.0,94,2026-02-19 01:00:00,20.7,70,7.4,0.0,2026-02-19,1,3,2,93.0,91.0,1.0,3.0,81.0,79.0,99.0
31.4,42.7,35.5,59.0,94,2026-02-19 02:00:00,20.2,68,8.6,0.0,2026-02-19,2,3,2,94.0,92.0,0.0,2.0,80.0,79.0,100.0
27.5,44.5,24.3,70.0,94,2026-02-19 03:00:00,20.0,59,8.6,0.0,2026-02-19,3,3,2,94.0,93.0,0.0,1.0,79.0,79.0,101.0
25.1,47.7,14.5,81.0,94,2026-02-19 04:00:00,20.1,52,9.7,0.0,2026-02-19,4,3,2,94.0,93.0,0.0,1.0,79.0,80.0,102.0
24.2,48.0,6.7,95.0,94,2026-02-19 05:00:00,20.6,49,11.0,0.0,2026-02-19,5,3,2,94.0,94.0,0.0,0.0,79.0,80.0,103.0
24.3,47.8,12.1,88.0,93,2026-02-19 06:00:00,20.4,49,10.5,0.0,2026-02-19,6,3,2,94.0,94.0,-1.0,-1.0,78.0,80.0,103.0
25.6,48.5,19.3,80.0,93,2026-02-19 07:00:00,20.3,51,10.6,0.0,2026-02-19,7,3,2,93.0,94.0,0.0,-1.0,78.0,81.0,104.0
28.0,49.6,23.0,79.0,93,2026-02-19 08:00:00,21.1,49,11.8,0.0,2026-02-19,8,3,2,93.0,94.0,0.0,-1.0,77.0,81.0,105.0
28.8,49.1,19.7,93.0,93,2026-02-19 09:00:00,23.2,43,10.9,0.0,2026-02-19,9,3,2,93.0,92.0,0.0,1.0,77.0,82.0,106.0
26.2,47.7,12.9,116.0,92,2026-02-19 10:00:00,25.9,36,12.3,0.0,2026-02-19,10,3,2,93.0,91.0,-1.0,1.0,77.0,82.0,107.0
25.8,42.1,7.3,133.0,91,2026-02-19 11:00:00,27.9,31,13.2,0.0,2026-02-19,11,3,2,92.0,91.0,-1.0,0.0,77.0,83.0,107.0
22.5,38.4,4.8,140.0,90,2026-02-19 12:00:00,28.8,26,14.8,0.0,2026-02-19,12,3,2,91.0,92.0,-1.0,-2.0,77.0,83.0,106.0
19.3,28.4,3.6,142.0,90,2026-02-19 13:00:00,29.5,23,15.6,0.0,2026-02-19,13,3,2,90.0,92.0,0.0,-2.0,77.0,84.0,104.0
18.6,24.3,3.1,142.0,89,2026-02-19 14:00:00,29.9,21,17.2,0.0,2026-02-19,14,3,2,90.0,92.0,-1.0,-3.0,78.0,85.0,102.0
19.2,23.3,2.9,143.0,88,2026-02-19 15:00:00,30.0,21,17.7,0.0,2026-02-19,15,3,2,89.0,91.0,-1.0,-3.0,79.0,95.0,100.0
19.9,23.6,3.6,141.0,87,2026-02-19 16:00:00,29.9,21,17.5,0.0,2026-02-19,16,3,2,88.0,91.0,-1.0,-4.0,82.0,117.0,98.0
21.0,22.5,5.9,138.0,90,2026-02-19 17:00:00,29.5,22,17.1,0.0,2026-02-19,17,3,2,87.0,99.0,3.0,-9.0,98.0,140.0,105.0
23.7,26.4,12.5,124.0,99,2026-02-19 18:00:00,28.5,26,15.5,0.0,2026-02-19,18,3,2,90.0,108.0,9.0,-9.0,110.0,158.0,118.0
27.6,30.6,21.5,104.0,101,2026-02-19 19:00:00,27.6,28,12.9,0.0,2026-02-19,19,3,2,99.0,106.0,2.0,-5.0,115.0,165.0,119.0
29.7,32.9,28.5,88.0,95,2026-02-19 20:00:00,26.8,31,12.1,0.0,2026-02-19,20,3,2,101.0,93.0,-6.0,2.0,111.0,164.0,108.0
31.1,34.6,32.1,77.0,85,2026-02-19 21:00:00,26.0,34,9.8,0.0,2026-02-19,21,3,2,95.0,90.0,-10.0,-5.0,102.0,156.0,92.0
32.6,36.2,33.7,69.0,84,2026-02-19 22:00:00,24.9,37,11.1,0.0,2026-02-19,22,3,2,85.0,91.0,-1.0,-7.0,88.0,142.0,92.0
